17:11:02 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:11:02 INFO | Main >> Загружено 1 элементов в коллекцию
17:11:02 INFO | Main >> Сервер запущен на порте 19825
17:17:32 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:17:32 INFO | Main >> Загружено 1 элементов в коллекцию
17:17:32 INFO | Main >> Сервер запущен на порте 19825
17:18:05 INFO | Main >> Коллекция сохранена
17:18:05 INFO | Main >> Сервер остановлен
17:21:49 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:21:49 INFO | Main >> Загружено 2 элементов в коллекцию
17:21:49 INFO | Main >> Сервер запущен на порте 19825
17:21:52 ERROR| DatabaseStorage >> Ошибка в получении даты создания: ResultSet not positioned properly, perhaps you need to call next.
17:24:01 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:24:01 INFO | Main >> Загружено 2 элементов в коллекцию
17:24:01 INFO | Main >> Сервер запущен на порте 19825
17:26:51 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:26:51 INFO | Main >> Загружено 2 элементов в коллекцию
17:26:51 INFO | Main >> Сервер запущен на порте 19825
17:27:29 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:27:29 INFO | Main >> Загружено 2 элементов в коллекцию
17:27:29 INFO | Main >> Сервер запущен на порте 19825
17:28:00 INFO | Main >> Коллекция сохранена
17:28:00 INFO | Main >> Сервер остановлен
17:58:41 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:58:41 INFO | Main >> Загружено 2 элементов в коллекцию
17:58:41 INFO | Main >> Сервер запущен на порте 19825
17:58:49 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
17:58:49 INFO | Main >> Загружено 2 элементов в коллекцию
17:58:49 INFO | Main >> Сервер запущен на порте 19825
