19:54:00 INFO | Main >> Сервер запущен
20:37:47 INFO | Main >> Сервер запущен
20:37:50 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62477
20:37:50 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:37:50 ERROR| ServerNetworkHandler >> Клиент уже был отключён
20:39:25 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62489
20:39:25 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:39:25 ERROR| ServerNetworkHandler >> Клиент уже был отключён
20:40:35 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62500
20:40:35 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:40:35 ERROR| ServerNetworkHandler >> Клиент уже был отключён
20:44:15 INFO | Main >> Сервер запущен
20:44:18 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62519
20:44:18 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:44:18 ERROR| ServerNetworkHandler >> Клиент уже был отключен
20:46:35 INFO | Main >> Сервер запущен
20:46:38 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62538
20:46:38 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:46:38 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента
20:50:17 INFO | Main >> Сервер запущен
20:50:20 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62566
20:50:20 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:50:20 ERROR| ServerNetworkHandler >> Ошибка в отключении клиентаnull
20:50:51 INFO | Main >> Сервер запущен
20:50:53 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62574
20:50:53 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:50:53 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента java.nio.channels.ClosedChannelException
20:53:30 INFO | Main >> Сервер запущен
20:53:31 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62597
20:53:32 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:53:32 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента java.nio.channels.ClosedChannelException
20:56:12 INFO | Main >> Сервер запущен
20:56:15 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62609
20:56:15 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:56:15 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента java.nio.channels.ClosedChannelException
20:56:51 INFO | Main >> Сервер запущен
20:56:53 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62623
20:56:53 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:56:53 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента java.nio.channels.ClosedChannelException
20:59:08 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62633
20:59:08 ERROR| ServerNetworkHandler >> Получен некорректный запрос
20:59:08 ERROR| ServerNetworkHandler >> Ошибка в отключении клиента java.nio.channels.ClosedChannelException
21:00:07 INFO | Main >> Сервер запущен
21:00:10 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62642
21:00:10 ERROR| ServerNetworkHandler >> Получен некорректный запрос
21:00:10 INFO | ServerNetworkHandler >> Клиент отключен: /127.0.0.1:62642
21:02:24 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62661
21:02:24 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:62661
21:02:24 ERROR| ServerNetworkHandler >> Ошибка в получении запроса: Connection reset
21:02:24 INFO | ServerNetworkHandler >> Клиент отключен: /127.0.0.1:62661
21:02:59 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:62667
21:02:59 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:62667
21:02:59 INFO | ServerNetworkHandler >> Клиент отключен: /127.0.0.1:62667
21:32:29 INFO | Main >> Сервер запущен
21:32:47 INFO | Main >> Сервер запущен
21:34:40 INFO | Main >> Сервер запущен
21:34:53 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:63126
21:34:53 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:63126
21:34:53 INFO | ServerNetworkHandler >> Отключен клиент /127.0.0.1:63126
21:37:27 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:63140
21:37:27 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:63140
21:37:27 INFO | ServerNetworkHandler >> Отключен клиент /127.0.0.1:63140
21:38:34 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:63148
21:38:34 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:63148
21:38:34 INFO | ServerNetworkHandler >> Отключен клиент /127.0.0.1:63148
21:55:29 INFO | Main >> Сервер запущен
22:03:22 INFO | Main >> Сервер запущен
22:05:07 INFO | Main >> Сервер запущен
22:05:30 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:63274
22:05:30 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:63274
22:05:30 INFO | ServerNetworkHandler >> Отключен клиент /127.0.0.1:63274
